RUN_TIME,RESOURCE_NAME,START_TIME,END_TIME,PARAMETER_TYPE,STATUS,
7/16/2026,01SMC_G01,7/1/2026 2:01:00 AM,7/22/2026 12:05:00 AM,STATUS,OUT,
7/16/2026,01SROQUE_U03,6/1/2026 12:01:00 AM,7/25/2026 11:59:00 PM,STATUS,OUT,
7/16/2026,07BDPP_U01,7/19/2026 12:01:00 AM,7/19/2026 12:00:00 PM,STATUS,OUT,
7/16/2026,07BDPP_U02,7/19/2026 12:01:00 AM,7/19/2026 12:00:00 PM,STATUS,OUT,
7/16/2026,08PDPP3_C,7/19/2026 12:01:00 AM,7/19/2026 6:00:00 AM,STATUS,OUT,
7/16/2026,08PDPP3_E,7/19/2026 12:01:00 AM,7/19/2026 6:00:00 AM,STATUS,OUT,
7/16/2026,08PDPP3_G,7/19/2026 12:01:00 AM,7/19/2026 6:00:00 AM,STATUS,OUT,
7/16/2026,08PDPP3_H,7/19/2026 12:01:00 AM,7/19/2026 6:00:00 AM,STATUS,OUT,
7/16/2026,10AGUS4_U03,7/19/2026 8:01:00 AM,8/8/2026 8:01:00 AM,STATUS,OUT,
7/16/2026,10AGUS5_U01,6/11/2026 8:01:00 AM,8/20/2026 8:01:00 AM,STATUS,OUT,
7/16/2026,11FDC_U01,7/1/2026 12:01:00 AM,7/21/2026 11:59:00 PM,STATUS,OUT,
7/16/2026,11STEAG_U01,7/1/2026 12:01:00 AM,8/24/2026 11:59:00 PM,STATUS,OUT,
7/16/2026,12KEGGIN_G01,4/15/2024 3:05:00 PM,12/31/2026 11:59:00 PM,STATUS,OUT,
7/16/2026,13SMC_U02,7/8/2026 12:01:00 AM,8/21/2026 11:59:00 PM,STATUS,OUT,
7/16/2026,14SARANG_U02,7/17/2026 12:01:00 AM,8/6/2026 11:59:00 PM,STATUS,OUT,
7/16/2026,14SIGHYDRO_G01,12/29/2025 6:00:00 PM,7/31/2026 11:59:00 PM,STATUS,OUT,
EOF
